Issue Type,Summary,Description,Priority,Story Points,Sprint,Start Date,End Date,Status,Actual Completion Date
Task,"Analisis y Diseno: Especificacion de Requisitos (Fase 1)","Entregable: documento FASE1_REQUERIMIENTOS.md con RF01-RF06 y RNF01-RNF04 en formato UDEC. Criterio de aceptacion: documento aprobado con trazabilidad RF-RNF completa.",High,3,Sprint 1,2026-08-22,2026-09-04,Done,2026-09-17
Story,"HU06 - Gestion Multiusuario y Administracion de Hogares","Como administrador de un hogar, quiero controlar quien es miembro de mi hogar, para mantener el inventario y la lista de compras compartidos solo entre las personas correctas. Dado que soy administrador del hogar, cuando expulso a otro miembro, entonces la operacion se completa exitosamente. | Dado que soy un miembro regular, cuando intento expulsar a otro miembro, entonces el sistema lo bloquea con una HouseholdException. | Dado que soy administrador, cuando intento expulsarme a mi mismo o abandonar mi propio hogar, entonces el sistema lo bloquea. | Dado que soy un miembro regular, cuando decido abandonar el hogar, entonces la operacion se completa exitosamente.",High,8,Sprint 2,2026-09-05,2026-09-18,Done,2026-09-07
Story,"HU01 - Gestion de Inventario y Control de Caducidad","Como miembro de un hogar, quiero registrar mis alimentos y ver su estado de vencimiento clasificado automaticamente, para evitar el desperdicio de comida y saber que tengo disponible en todo momento. Dado un inventario con fechas de caducidad variadas, cuando consulto la lista de productos, entonces se clasifican en Fresco / Por vencer (menor o igual a 3 dias) / Vencido, priorizando los proximos a vencer. | Dado que voy a agregar un producto, cuando su codigo de barras o nombre ya existe en el hogar, entonces el sistema lo detecta antes de crear un duplicado. | Dado que otro miembro de mi hogar modifica el inventario, cuando yo tengo la app abierta, entonces veo el cambio reflejado en tiempo real.",High,5,Sprint 2,2026-09-05,2026-09-18,Done,2026-08-30
Story,"HU02 - Algoritmo de Coincidencia de Recetas","Como usuario, quiero ver que recetas puedo preparar con lo que ya tengo en mi inventario, para decidir que cocinar sin necesidad de salir a comprar todo desde cero. Dado un listado de insumos del hogar, cuando se calcula el match de cada receta, entonces se asigna el porcentaje exacto de coincidencia y el StatusBadge verde/ambar correspondiente. | Dado el catalogo completo de recetas, cuando se ordena por disponibilidad, entonces ninguna receta se oculta, solo se reordenan de mayor a menor coincidencia.",High,5,Sprint 3,2026-09-19,2026-10-02,Done,2026-09-07
Story,"HU03 - Generacion Culinaria con IA (Gemini API)","Como usuario, quiero recibir una receta generada por inteligencia artificial cuando ninguna receta del catalogo se ajuste bien a lo que tengo, para no quedarme sin opciones de que cocinar. Dado que el mejor porcentaje de coincidencia del catalogo es menor al 50%, cuando el usuario solicita una receta con IA, entonces el sistema envia el inventario disponible a Gemini y muestra una receta colombiana generada dinamicamente. | Dado que la respuesta de Gemini no es un JSON valido, cuando el sistema intenta procesarla, entonces se captura como error controlado en vez de romper la pantalla.",Medium,8,Sprint 3,2026-09-19,2026-10-02,Done,2026-09-08 (hardening 2026-09-17)
Story,"HU05 - Modo Cocina Interactivo","Como usuario, quiero marcar los pasos de una receta como completados mientras cocino, para seguir mi progreso sin perder el hilo de la preparacion. Dado que estoy en el detalle de una receta, cuando toco un paso de preparacion, entonces se marca como completado con retroalimentacion haptica inmediata. | Dado un paso ya marcado, cuando lo toco de nuevo, entonces se desmarca (no se persiste en Firestore).",Medium,2,Sprint 3,2026-09-19,2026-10-02,Done,2026-09-16
Story,"HU04 - Envio a Lista de Compras y Deduplicacion de Insumos Faltantes","Como usuario, quiero enviar los ingredientes faltantes de una receta a mi lista de compras sin que se dupliquen, para no comprar de mas ni perder tiempo revisando manualmente lo que ya agregue. Dado un item existente en la canasta, cuando se invocan agregados desde recetas (addItems), entonces se aplica deduplicacion estricta e insensible a mayusculas/minusculas. | Dado que aun no ha cargado la canasta base (assets/data/canastas.json, contenido local, no Firestore), cuando se agregan ingredientes faltantes de una receta, entonces no se pierden ni se duplican una vez la canasta termina de cargar. | Dado un nivel de presupuesto elegido, cuando se calcula el costo de lo faltante, entonces se compara contra el techo de ese nivel.",High,5,Sprint 4,2026-10-03,2026-10-16,Done,2026-08-30 (fix dedup 2026-09-16)
Task,"Pruebas BDD y de Widgets (RNF04)","Suite de pruebas automatizadas Given/When/Then para ProductProvider, ShoppingProvider, RecipeProvider y HouseholdProvider, mas pruebas de widget sin excepciones para ProductosScreen y RecetasScreen. Criterio de aceptacion: flutter analyze con 0 incidencias y flutter test con 100% de pruebas pasando.",High,5,Sprint 4,2026-10-03,2026-10-16,Done,2026-09-17
Task,"Auditoria y Hardening de Seguridad (RNF01, RNF02)","Auditoria de .gitignore, Firestore rules con denegacion por defecto, sanitizacion de prompts de IA, deserializacion segura de JSON, y configuracion de ProGuard/R8 para el build de release de Android. Criterio de aceptacion: build de release con --obfuscate --split-debug-info compila y arranca sin errores.",High,5,Sprint 4,2026-10-03,2026-10-16,Done,2026-09-17
Task,"Piloto con usuarios y evaluacion final","Ejecucion de piloto con usuarios reales sobre la version estabilizada de Frescorden, recoleccion de retroalimentacion y evaluacion final de cierre de proyecto. Criterio de aceptacion: reporte de piloto con hallazgos y metricas de uso real.",High,5,Sprint 5,2026-10-17,2026-10-23,To Do,
